,today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time,Unnamed: 0
188,2021-08-10,BH2,,BGTL,0.0,0,0,1.0,NAQ,2021-08-10 11:50:00,
189,2021-08-10,B752,Boeing 757-2Q8,PAED,1.0,LFI,2021-08-12 00:28:36,0.0,0,0,
190,2021-08-10,DC6,,PAED,0.0,0,0,1.0,ANC,2021-08-12 01:29:00,
191,2021-08-10,B752,Boeing 757-2Q8,PAED,0.0,0,0,1.0,JFK,2021-08-12 01:55:00,
192,2021-08-10,GLF4,,PAED,0.0,0,0,1.0,ANC,2021-08-12 03:55:00,
193,2021-08-10,321,,KVD,1.0,DME,2021-08-10 09:20:00,0.0,0,0,
194,2021-08-10,321,,KVD,0.0,0,0,1.0,DME,2021-08-10 10:50:00,
195,2021-08-10,B738,Boeing 737-8F2,KVD,0.0,0,0,1.0,IST,2021-08-10 09:30:00,
196,2021-08-11,B752,Boeing 757-208,BIKF,1.0,CPH,2021-08-11 23:50:00,0.0,0,0,
197,2021-08-11,A21N,Airbus A321-271NX,BIKF,1.0,FRA,2021-08-11 23:30:00,0.0,0,0,
198,2021-08-11,B39M,Boeing 737 MAX 9,BIKF,1.0,MXP,2021-08-11 23:30:00,0.0,0,0,
199,2021-08-11,A321,Airbus A321-231,BIKF,1.0,WAW,2021-08-11 23:25:00,0.0,0,0,
200,2021-08-11,B738,Boeing 737-86N,BIKF,1.0,TFS,2021-08-11 20:30:00,0.0,0,0,
201,2021-08-11,B753,Boeing 757-3E7,BIKF,1.0,TFS,2021-08-11 20:30:00,0.0,0,0,
202,2021-08-11,B752,Boeing 757-208(PCF),BIKF,1.0,BOS,2021-08-11 19:50:00,0.0,0,0,
203,2021-08-11,A320,Airbus A320-232,BIKF,1.0,KTW,2021-08-11 19:45:00,0.0,0,0,
204,2021-08-11,B738,Boeing 737-8K2,BIKF,1.0,AMS,2021-08-11 19:00:00,0.0,0,0,
205,2021-08-11,A21N,Airbus A321-271NX,BIKF,1.0,FCO,2021-08-11 18:40:00,0.0,0,0,
206,2021-08-11,A320,Airbus A320-214,BIKF,1.0,BCN,2021-08-11 16:25:00,0.0,0,0,
207,2021-08-11,B752,Boeing 757-208,BIKF,1.0,MUC,2021-08-11 16:00:00,0.0,0,0,
